Title,Price,Reg Date,Depreciation,Mileage,Owners,URL
Ferrari California 4.3A (COE till 12/2030),"$255,000","09-Mar-2011
(5y 6m COE left)","$46,170 /yr","61,000 km",5 Owners,https://www.sgcarmart.com/used-cars/info/ferrari-california-43a-coe-1399293/?dl=3301&utm_content=SLeligible
Porsche 911 Carrera S Coupe 3.8A PDK (COE till 02/2032),"$299,000","02-Jul-2012
(6y 8m COE left)","$44,710 /yr","94,000 km",4 Owners,https://www.sgcarmart.com/used-cars/info/porsche-911-carrera-s-1204014/?dl=3301&utm_content=SLeligible
Nissan Juke 1.6A,"$20,800","14-Jun-2016
(11m COE left)","$12,350 /yr","101,783 km",1 Owner,https://www.sgcarmart.com/used-cars/info/nissan-juke-16a-1411597/?dl=4162
Toyota Corolla Altis 1.6A Elegance,"$34,000","26-May-2017
(1y 11m COE left)","$12,520 /yr","97,052 km",3 Owners,https://www.sgcarmart.com/used-cars/info/toyota-corolla-altis-16a-1411504/?dl=1001
Toyota Harrier Turbo 2.0A G,"$78,888","30-Jul-2018
(3y 1m COE left)","$19,230 /yr",N.A,2 Owners,https://www.sgcarmart.com/used-cars/info/toyota-harrier-turbo-20a-1411591/?dl=4189
Mercedes-Benz E-Class E200 CGI (COE till 11/2029),"$59,000","30-Nov-2009
(4y 5m COE left)","$13,300 /yr","110,000 km",3 Owners,https://www.sgcarmart.com/used-cars/info/mercedes-benz-e-class-e200-cgi-1395599/?dl=3301&utm_content=SLeligible
Mercedes-Benz E-Class E250 CGI (COE till 03/2030),"$58,000","16-Mar-2010
(4y 8m COE left)","$12,270 /yr","120,000 km",5 Owners,https://www.sgcarmart.com/used-cars/info/mercedes-benz-e-class-e250-cgi-1330670/?dl=3301&utm_content=SLeligible
Toyota Corolla Altis 1.6A,"$31,788","10-Feb-2017
(1y 7m COE left)","$13,370 /yr","94,500 km",2 Owners,https://www.sgcarmart.com/used-cars/info/toyota-corolla-altis-16a-1411599/?dl=1000&utm_content=SLeligible
BMW X1 sDrive18i,"$37,800","12-Jan-2017
(1y 6m COE left)","$14,880 /yr","122,563 km",2 Owners,https://www.sgcarmart.com/used-cars/info/bmw-x1-sdrive18i-1411577/?dl=4412
Lamborghini Huracan STO,"$1,069,000","03-Aug-2022
(7y 1m COE left)","$112,940 /yr","15,860 km",2 Owners,https://www.sgcarmart.com/used-cars/info/lamborghini-huracan-sto-1411575/?dl=1177
Toyota Prius Hybrid 1.8A S,"$75,800","19-Aug-2019
(4y 1m COE left)","$15,730 /yr","79,000 km",1 Owner,https://www.sgcarmart.com/used-cars/info/toyota-prius-hybrid-18a-1411572/?dl=3792
Mazda 5 2.0A SP Sunroof,"$20,800","30-Jun-2016
(1y COE left)","$10,560 /yr","123,383 km",1 Owner,https://www.sgcarmart.com/used-cars/info/mazda-5-20a-sp-1411571/?dl=4801
Toyota Corolla Axio 1.5A X (COE till 11/2027),"$23,800","23-Nov-2007
(2y 4m COE left)","$9,860 /yr","105,000 km",2 Owners,https://www.sgcarmart.com/used-cars/info/toyota-corolla-axio-15a-1411570/?dl=4812&utm_content=SLeligible
Mazda 3 1.5A,"$24,800","05-Jun-2017
(1y 11m COE left)","$10,240 /yr","142,000 km",2 Owners,https://www.sgcarmart.com/used-cars/info/mazda-3-15a-1411569/?dl=3758
BMW X1 sDrive18i,"$71,888","21-Jun-2018
(2y 11m COE left)","$17,150 /yr","111,681 km",1 Owner,https://www.sgcarmart.com/used-cars/info/bmw-x1-sdrive18i-1411568/?dl=3597
Honda Vezel 1.5A X,"$7,900",30-Jun-15,N.A,"117,000 km",3 Owners,https://www.sgcarmart.com/used-cars/info/honda-vezel-15a-x-1411566/?dl=3301
Toyota Wish 1.8A,"$51,888","28-Feb-2018
(2y 8m COE left)","$15,640 /yr","88,210 km",1 Owner,https://www.sgcarmart.com/used-cars/info/toyota-wish-18a-1411565/?dl=3597
BMW X1 sDrive18i,"$88,888","18-Jun-2019
(3y 11m COE left)","$17,040 /yr","104,309 km",1 Owner,https://www.sgcarmart.com/used-cars/info/bmw-x1-sdrive18i-1411562/?dl=3597
BYD Seal Electric Premium,"$164,800","28-Dec-2023
(8y 6m COE left)","$19,070 /yr","23,512 km",1 Owner,https://www.sgcarmart.com/used-cars/info/byd-seal-electric-premium-1411560/?dl=1213
Mercedes-Benz GLA-Class GLA180,"$33,800","13-Sep-2016
(1y 2m COE left)","$16,650 /yr",N.A,3 Owners,https://www.sgcarmart.com/used-cars/info/mercedes-benz-gla-class-gla180-1411559/?dl=4239
KYC V7 Electric,"$102,688","29-May-2025
(9y 11m COE left)","$10,340 /yr",100 km,1 Owner,https://www.sgcarmart.com/used-cars/info/kyc-v7-electric-1411558/?dl=2358
Mercedes-Benz EQS Electric EQS450+ AMG Line Premium,"$340,800","09-Sep-2022
(7y 2m COE left)","$40,040 /yr","44,500 km",2 Owners,https://www.sgcarmart.com/used-cars/info/mercedes-benz-eqs-electric-eqs450-1411555/?dl=4073
Mercedes-Benz GLA-Class GLA180 Urban Edition,"$96,888","12-Mar-2020
(4y 8m COE left)","$17,280 /yr","65,951 km",2 Owners,https://www.sgcarmart.com/used-cars/info/mercedes-benz-gla-class-gla180-urban-1411552/?dl=3597
Mercedes-Benz CLA-Class CLA180,"$31,000","28-Jul-2016
(1y 1m COE left)","$16,490 /yr","67,150 km",1 Owner,https://www.sgcarmart.com/used-cars/info/mercedes-benz-cla-class-cla180-1411545/?dl=1213
Mercedes-Benz GLB-Class GLB180 Progressive 7-Seater,"$159,800","10-Nov-2021
(6y 4m COE left)","$21,780 /yr","96,000 km",2 Owners,https://www.sgcarmart.com/used-cars/info/mercedes-benz-glb-class-glb180-progressive-1411537/?dl=3546
Mercedes-Benz GLB-Class GLB180 Progressive,"$197,800","15-May-2023
(7y 10m COE left)","$22,260 /yr","38,878 km",1 Owner,https://www.sgcarmart.com/used-cars/info/mercedes-benz-glb-class-glb180-progressive-1411536/?dl=1213
Maxus eDeliver 5 Electric,"$105,800","19-Jun-2025
(9y 11m COE left)","$10,520 /yr",N.A,2 Owners,https://www.sgcarmart.com/used-cars/info/maxus-edeliver-5-electric-1411532/?dl=4174
Toyota Sienta Hybrid 1.5A G,"$72,500","15-Nov-2019
(4y 4m COE left)","$14,250 /yr","76,562 km",2 Owners,https://www.sgcarmart.com/used-cars/info/toyota-sienta-hybrid-15a-1411528/?dl=4784
Porsche Cayenne Diesel 3.0A Tip,"$90,000","08-Apr-2016
(9m COE left)","$35,120 /yr","125,195 km",1 Owner,https://www.sgcarmart.com/used-cars/info/porsche-cayenne-diesel-30a-1411527/?dl=3597
BMW 5 Series 520i Mild Hybrid Launch Edition,"$248,800","08-Mar-2024
(8y 8m COE left)","$23,920 /yr","9,045 km",1 Owner,https://www.sgcarmart.com/used-cars/info/bmw-5-series-520i-1411526/?dl=1213
Mercedes-Benz EQA Electric EQA250 Art,"$182,800","25-Sep-2023
(8y 3m COE left)","$20,110 /yr","17,252 km",1 Owner,https://www.sgcarmart.com/used-cars/info/mercedes-benz-eqa-electric-eqa250-1411519/?dl=1213
Mazda 3 1.5A Sunroof,"$41,000","09-Feb-2018
(2y 7m COE left)","$12,050 /yr",N.A,3 Owners,https://www.sgcarmart.com/used-cars/info/mazda-3-15a-sunroof-1411518/?dl=3175
BMW 4 Series 420i Gran Coupe,"$154,800","16-Dec-2015
(5m COE left)",N.A,"80,000 km",3 Owners,https://www.sgcarmart.com/used-cars/info/bmw-4-series-420i-1411510/?dl=4482
Toyota Harrier Turbo 2.0A M,"$75,800","27-Jun-2018
(3y COE left)","$19,360 /yr","97,370 km",1 Owner,https://www.sgcarmart.com/used-cars/info/toyota-harrier-turbo-20a-1411509/?dl=1213
Mercedes-Benz GLB-Class GLB180 Progressive,"$195,800","03-Apr-2023
(7y 9m COE left)","$22,380 /yr","24,188 km",1 Owner,https://www.sgcarmart.com/used-cars/info/mercedes-benz-glb-class-glb180-progressive-1411505/?dl=1213
Mazda 6 2.0A Executive,"$169,885","20-Jun-2025
(9y 11m COE left)","$16,190 /yr",100 km,1 Owner,https://www.sgcarmart.com/used-cars/info/mazda-6-20a-executive-1411502/?dl=3163
Toyota C-HR Hybrid 1.8A S Toyota Safety Sense,"$45,800","09-Nov-2017
(2y 4m COE left)","$18,230 /yr","102,000 km",3 Owners,https://www.sgcarmart.com/used-cars/info/toyota-c-hr-hybrid-18a-1411493/?dl=4847
Volvo V40 T2 R-Design Sunroof,"$28,000","30-Dec-2016
(1y 6m COE left)","$11,230 /yr","142,000 km",3 Owners,https://www.sgcarmart.com/used-cars/info/volvo-v40-t2-r-design-1411473/?dl=4427
Hyundai Avante 1.6A S,"$94,000","09-Jul-2021
(6y COE left)","$15,150 /yr","81,000 km",2 Owners,https://www.sgcarmart.com/used-cars/info/hyundai-avante-16a-s-1411212/?dl=4846
Nissan Qashqai 1.2A DIG-T,"$13,288","26-Feb-2016
(8m COE left)","$9,730 /yr",N.A,3 Owners,https://www.sgcarmart.com/used-cars/info/nissan-qashqai-12a-dig-t-1411144/?dl=3750
Honda HR-V 1.5A DX,"$32,800","08-May-2017
(1y 10m COE left)","$13,550 /yr","151,688 km",1 Owner,https://www.sgcarmart.com/used-cars/info/honda-hr-v-15a-dx-1411105/?dl=1136
BYD T3 Electric,"$96,800","20-Jun-2025
(9y 11m COE left)","$9,690 /yr",8 km,1 Owner,https://www.sgcarmart.com/used-cars/info/byd-t3-electric-1410719/?dl=3393
Golden Dragon Electric,"$84,988","01-Feb-2024
(8y 7m COE left)","$9,870 /yr",N.A,1 Owner,https://www.sgcarmart.com/used-cars/info/golden-dragon-electric-1410692/?dl=3113
Honda HR-V 1.5A LX,"$26,800","17-Nov-2016
(1y 4m COE left)","$11,810 /yr","117,000 km",2 Owners,https://www.sgcarmart.com/used-cars/info/honda-hr-v-15a-lx-1410397/?dl=1400
Mazda Biante 2.0A,"$39,800","01-Jun-2017
(1y 11m COE left)","$14,710 /yr","95,707 km",1 Owner,https://www.sgcarmart.com/used-cars/info/mazda-biante-20a-1409621/?dl=3626
Volvo XC60 T5 Momentum,"$88,800","22-Oct-2018
(3y 3m COE left)","$19,870 /yr","78,128 km",2 Owners,https://www.sgcarmart.com/used-cars/info/volvo-xc60-t5-momentum-1408631/?dl=3613
Renault Grand Scenic Diesel 1.5A dCi Moonroof,"$50,888","28-Dec-2018
(3y 6m COE left)","$11,980 /yr","91,287 km",2 Owners,https://www.sgcarmart.com/used-cars/info/renault-grand-scenic-diesel-1408596/?dl=3613
Honda CR-V 1.5A Turbo 7-Seater Sunroof,"$73,200","13-Apr-2018
(2y 9m COE left)","$19,700 /yr","78,860 km",1 Owner,https://www.sgcarmart.com/used-cars/info/honda-cr-v-15a-turbo-1408594/?dl=3613
Toyota Estima 2.4A (COE till 06/2026),"$12,800","16-Jun-2006
(11m COE left)","$13,120 /yr","182,000 km",5 Owners,https://www.sgcarmart.com/used-cars/info/toyota-estima-24a-coe-1408486/?dl=3750
BMW iX3 Electric M-Sport Impressive Shadow Sunroof,"$210,800","31-May-2023
(7y 11m COE left)","$23,950 /yr","35,000 km",1 Owner,https://www.sgcarmart.com/used-cars/info/bmw-ix3-electric-m-sport-1407005/?dl=1400
